Name,Roll_No,Branch,CGPA,DSA_Score,WebDev_Score,ML_Score,Aptitude_Score,Communication_Score,Internships,Projects,Hackathons,Placement_Status,Salary_LPA,Company
Arjun Rastogi,2200IT000,IT,6.07,55,51,46,34,37,1,5,1,Placed,3.4,Genpact
Mayank Patel,2100EC001,ECE,7.03,42,47,24,55,39,2,3,1,Not Placed,0.0,Not Placed
Saanvi Verma,2100EC002,ECE,7.55,26,24,49,64,54,0,1,1,Placed,3.71,Genpact
Ravi Dhawan,2100CS003,CSE,6.85,41,54,50,61,65,0,4,0,Placed,3.62,Cyient
Neeraj Bhatt,2400IT004,IT,8.38,94,60,63,66,42,3,5,0,Placed,6.86,HCL
Nikita Rastogi,2100EC005,ECE,6.94,46,51,65,42,35,3,8,1,Placed,4.64,Concentrix
Sakshi Rastogi,2200CE006,CE,7.11,47,20,31,46,35,3,7,0,Placed,3.1,Genpact
Pari Mishra,2400CS007,CSE,10.0,87,78,64,58,80,2,7,1,Placed,31.5,Microsoft
Meghna Dhawan,2300EC008,ECE,7.31,47,58,25,60,34,1,3,2,Placed,8.66,Zoho
Sachin Iyer,2100EC009,ECE,7.93,54,47,26,74,76,3,5,1,Placed,3.2,Amdocs
Manish Bansal,2300EC010,ECE,9.54,82,40,72,57,72,2,7,2,Placed,38.23,Qualcomm
Neeraj Kumar,2100EC011,ECE,8.29,58,100,62,48,35,4,8,2,Placed,5.77,Mphasis
Aman Bansal,2100EC012,ECE,7.51,60,32,48,55,31,3,8,4,Placed,4.16,Genpact
Mohit Rastogi,2400CS013,CSE,7.22,96,20,55,29,42,1,4,0,Placed,8.49,Mphasis
Navya Arora,2300EC014,ECE,8.94,81,58,64,80,45,2,2,4,Placed,8.62,HCL
Khushi Kumar,2200ME015,ME,6.42,25,57,67,59,20,1,1,0,Not Placed,0.0,Not Placed
Shaurya Iyer,2400CS016,CSE,7.22,90,54,29,33,48,2,4,3,Placed,4.17,iGate
Kartik Malhotra,2100EE017,EE,7.22,23,69,29,81,63,1,3,0,Placed,3.04,Genpact
Rohan Reddy,2300CS018,CSE,6.92,62,68,34,40,43,2,8,2,Placed,10.16,Infosys
Ankit Malhotra,2200CS019,CSE,6.97,59,69,33,63,45,0,5,2,Placed,6.96,Mphasis
Swati Iyer,2200EC020,ECE,8.22,72,40,51,30,85,4,5,0,Placed,10.66,Cognizant
Aryan Khanna,2300ME021,ME,7.44,71,39,30,72,14,3,2,1,Placed,5.39,Hexaware
Nikita Reddy,2300CS022,CSE,9.03,91,75,59,46,41,4,4,3,Placed,29.26,Adobe
Ravi Rawat,2100EC023,ECE,7.37,47,80,64,78,49,3,5,4,Placed,10.6,Zoho
Ayaan Yadav,2200ME024,ME,8.09,83,64,43,58,48,3,8,0,Placed,12.0,Zoho
Radhika Kumar,2400EE025,EE,7.51,77,54,36,31,27,3,7,3,Placed,5.51,Capgemini
Mansi Mehta,2100CS026,CSE,8.27,93,44,63,75,22,2,8,2,Placed,8.19,Mphasis
Kartik Bhatt,2300IT027,IT,7.36,44,67,46,39,41,3,4,0,Not Placed,0.0,Not Placed
Anika Bansal,2400CS028,CSE,7.37,48,45,26,80,51,0,5,1,Not Placed,0.0,Not Placed
Deepak Sharma,2300CS029,CSE,8.2,67,19,27,79,83,0,5,1,Placed,6.32,Mindtree
Ravi Patel,2300CS030,CSE,7.28,62,35,34,41,44,3,6,2,Not Placed,0.0,Not Placed
Ishaan Arora,2200EC031,ECE,5.64,7,52,32,40,38,0,1,0,Not Placed,0.0,Not Placed
Abhishek Malhotra,2400CS032,CSE,7.56,53,61,45,51,35,4,8,1,Placed,4.02,Mu Sigma
Rahul Goel,2200CS033,CSE,5.33,47,25,40,12,43,2,2,0,Not Placed,0.0,Not Placed
Aryan Chopra,2100EE034,EE,8.36,54,69,29,68,80,2,8,0,Placed,10.81,Infosys
Aadhya Bhatt,2200CS035,CSE,9.4,75,79,55,65,67,2,7,2,Placed,41.69,Amazon
Aishwarya Chauhan,2300IT036,IT,8.47,76,46,53,64,65,2,6,1,Placed,40.93,Oracle
Sneha Bhatt,2200IT037,IT,7.88,88,50,37,49,70,3,7,2,Placed,8.9,Hexaware
Swati Arora,2400EC038,ECE,7.06,51,77,52,53,58,1,7,2,Placed,7.49,Byju's
Anika Saxena,2200CS039,CSE,8.13,87,50,64,26,49,2,5,3,Placed,8.85,Infosys
Diya Sethi,2200EC040,ECE,6.98,33,91,43,50,49,2,3,2,Placed,4.05,Sasken
Aarav Kumar,2100IT041,IT,9.2,100,30,48,63,31,3,2,2,Placed,6.16,HCL
Vivaan Kapoor,2100CS042,CSE,7.62,64,66,30,50,47,2,8,0,Placed,7.66,Mindtree
Kabir Rawat,2200CE043,CE,5.6,28,54,15,18,17,2,6,3,Not Placed,0.0,Not Placed
Sachin Chopra,2400IT044,IT,9.99,99,61,53,56,61,2,2,2,Placed,18.81,Adobe
Pallavi Tiwari,2100CS045,CSE,8.07,74,77,77,73,20,2,3,2,Placed,3.58,NIIT
Meghna Mukherjee,2400IT046,IT,6.23,68,30,73,50,50,2,2,1,Placed,7.01,Tech Mahindra
Kartik Patel,2100ME047,ME,7.08,50,77,28,76,63,2,4,1,Placed,4.9,Amdocs
Pari Saxena,2200IT048,IT,7.61,46,63,51,62,71,3,6,2,Placed,4.75,HCL
Myra Mukherjee,2200ME049,ME,7.36,60,43,58,51,42,3,3,0,Placed,9.72,Cognizant
Neha Kumar,2400IT050,IT,7.09,62,61,7,41,69,2,3,1,Placed,4.88,Cyient
Aditya Bhatt,2100ME051,ME,8.48,57,80,85,57,46,2,4,1,Placed,13.39,Microsoft
Shaurya Das,2400CS052,CSE,7.46,68,83,29,67,47,4,8,0,Placed,10.35,Tech Mahindra
Nikhil Singh,2200IT053,IT,6.73,78,40,22,54,39,1,5,0,Placed,4.78,Amdocs
Mohit Mehta,2400EE054,EE,7.49,59,60,73,51,37,2,4,1,Placed,8.1,Cognizant
Khushi Khanna,2400EC055,ECE,8.73,59,75,66,90,66,3,8,1,Placed,7.01,Wipro
Ritvik Dubey,2100ME056,ME,7.64,50,49,62,58,52,3,6,3,Placed,3.6,Sasken
Mayank Malhotra,2100ME057,ME,7.43,56,35,59,32,41,2,1,1,Placed,4.54,Mu Sigma
Bhavna Rajput,2200ME058,ME,5.16,25,10,20,43,61,0,1,1,Not Placed,0.0,Not Placed
Ravi Mishra,2200IT059,IT,7.28,44,84,53,49,38,0,7,4,Placed,3.07,NIIT
Kartik Saxena,2400EE060,EE,8.65,73,37,49,68,41,2,3,2,Placed,5.04,Infosys
Saurabh Dhawan,2100IT061,IT,7.37,100,46,56,37,57,0,4,3,Placed,4.57,L&T Infotech
Ankur Sethi,2300IT062,IT,6.35,54,43,31,42,34,0,4,0,Placed,3.06,iGate
Yash Malhotra,2200EE063,EE,8.26,63,41,58,66,70,2,7,1,Placed,4.95,Cognizant
Myra Goel,2400CS064,CSE,6.26,44,59,55,85,45,2,6,0,Placed,4.74,Sapient
Aarav Iyer,2100ME065,ME,5.2,24,61,4,14,48,0,5,2,Not Placed,0.0,Not Placed
Akash Dubey,2300EC066,ECE,8.95,81,65,46,70,51,2,6,2,Placed,10.3,Wipro
Aadhya Saxena,2300CS067,CSE,8.89,78,74,57,47,74,2,4,0,Placed,10.02,Cognizant
Varun Bhatt,2300EC068,ECE,8.76,66,63,76,60,62,1,4,0,Placed,6.87,L&T Infotech
Yash Khanna,2300EC069,ECE,7.2,65,52,59,11,88,1,2,1,Placed,4.94,NIIT
Dhruv Agarwal,2100CS070,CSE,6.75,86,47,44,60,58,4,8,1,Placed,15.52,Oracle
Kabir Bansal,2200EC071,ECE,5.92,38,43,39,46,75,3,8,1,Placed,3.65,Sapient
Kartik Mehta,2400IT072,IT,9.31,70,50,20,60,33,2,5,2,Placed,4.16,iGate
Sai Mukherjee,2300EC073,ECE,5.33,54,44,39,48,58,1,4,1,Not Placed,0.0,Not Placed
Aarav Kapoor,2200CS074,CSE,8.67,67,29,61,85,69,2,4,2,Placed,4.93,iGate
Mayank Chatterjee,2400IT075,IT,7.93,72,83,46,51,55,3,8,3,Placed,9.51,Mindtree
Ayaan Kumar,2200CS076,CSE,6.5,87,28,43,54,55,1,1,3,Placed,8.23,Mindtree
Rahul Sethi,2200EE077,EE,5.13,37,18,0,7,61,4,3,0,Not Placed,0.0,Not Placed
Myra Gupta,2300CS078,CSE,6.8,42,39,21,48,35,0,5,1,Not Placed,0.0,Not Placed
Saanvi Bhatia,2200ME079,ME,9.54,64,60,65,72,68,2,6,2,Placed,5.64,Mphasis
Yash Patel,2300EE080,EE,7.24,64,47,58,41,54,3,4,1,Placed,4.87,Cyient
Shivani Yadav,2200EC081,ECE,7.01,37,16,77,34,65,1,6,4,Placed,3.16,Concentrix
Ankur Verma,2200IT082,IT,8.04,56,60,45,73,62,1,7,0,Placed,4.69,Hexaware
Pallavi Saxena,2300CS083,CSE,7.28,63,64,43,59,52,2,5,0,Not Placed,0.0,Not Placed
Dev Patel,2400ME084,ME,6.37,42,30,26,39,35,0,2,3,Not Placed,0.0,Not Placed
Vishal Srivastava,2200IT085,IT,10.0,69,68,41,49,69,3,2,0,Placed,20.57,Samsung R&D
Simran Srivastava,2200ME086,ME,7.33,36,29,39,25,88,3,2,1,Not Placed,0.0,Not Placed
Yash Tiwari,2400IT087,IT,6.87,80,48,25,63,38,1,4,4,Placed,8.39,Accenture
Aadhya Rastogi,2300CS088,CSE,7.61,91,52,48,58,43,1,1,3,Placed,9.46,Mphasis
Vidhi Bhatt,2300CS089,CSE,6.71,74,64,56,36,23,2,5,4,Placed,8.87,TCS
Dhruv Pandey,2300ME090,ME,7.85,74,44,30,42,17,1,4,2,Placed,4.69,Mu Sigma
Abhishek Mukherjee,2300CE091,CE,7.42,66,33,60,51,67,3,5,0,Placed,9.94,Hexaware
Komal Dhawan,2100ME092,ME,7.24,30,55,50,84,70,2,6,1,Placed,11.94,Capgemini
Dhruv Gupta,2400CS093,CSE,6.39,73,41,42,25,60,1,3,1,Placed,10.09,TCS
